SUPPLIER NAME,EMS CODE,DGP ITEM,EMS ITEM,BUYER CODE,BUYER NAME,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,TTL,Life Cycle,Collabs,Project,Platform
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,4JWX6,AM3WD000C11,G076,"He, Wei Tao",20,40,21,26,16,18,13,7,0,0,0,0,161,MP,1,NEXUS 16 INTEL,Alienware Notebook
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,HPPNK,AM3RY000121,G076,"He, Wei Tao",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,GRG4P,AM3RY000431,G076,"He, Wei Tao",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,2XR0D,AM3RY000411,G076,"He, Wei Tao",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,DVC9J,AM3RY000401,G076,"He, Wei Tao",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,6XFMX,AM3RY000101,G076,"He, Wei Tao",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,GTC20,AM3MN000102,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 17;CINNAMON BAY 17 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,4T9J9,AM3MM000D02,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16;CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,JGKN1,AM3MN000L02,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 17;CINNAMON BAY 17 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,V3VXN,AM3MM000102,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16;CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,4HGR9,AM3MN000202,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 17;CINNAMON BAY 17 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,C4FP4,AM3MN000534,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 17 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,VNFYM,AM3MN000544,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 17 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,2YP43,AM3MN000554,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 17 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,CC11K,AM3MM000215,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,KP2P1,AM3MM001235,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,N0HHX,AM3MM000V45,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,R8G07,AM3MM000115,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,D2GJX,AM3MM000V55,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
